line,title,description,category,cypher_examples,source_file,authority_level,quality_tier,review_status,reviewer_notes
93,Export a (sub)graph to Cypher script and import it again,Oftentimes you want to export a full (or partial) database to a file and import it again without copying the actual database files.,cypher,"// exports the whole database incl. indexes as cypher statements to the provided file
CALL apoc.export.cypher.all('/tmp/export.cypher',{format:'cypher-shell'})

// exports given nodes and relationships incl. indexes as cypher statements to the provided file
MATCH path = (p1:Person)-[r:KNOWS]->(p2:Person)
WITH collect(p1)+collect(p2) as export_nodes, collect(r) as export_rels
CALL apoc.export.cypher.data(export_nodes,export_rels,'/tmp/export.cypher',{format:'cypher-shell'})
YIELD file, source, format, nodes, relationships, properties, time
RETURN nodes, relationships, time;

// exports given graph object incl. indexes as cypher statements to the provided file
...
CALL apoc.graph.fromPaths([paths],'export_graph',{}) YIELD graph
CALL apoc.export.cypher.graph(graph,'/tmp/export.cypher',{format:'cypher-shell'}) YIELD time
RETURN time;

// exports nodes and relationships from the cypher statement incl. indexes as cypher statements to the provided file
CALL apoc.export.cypher.query(
'MATCH (p1:Person)-[r:KNOWS]->(p2:Person) RETURN *',
'/tmp/export.cypher',{format:'cypher-shell'}); | // create nodes
:begin
CREATE (:`UNIQUE IMPORT LABEL` {`UNIQUE IMPORT ID`:0});
CREATE (:`User` {`age`:43, `name`:""User1""});
:commit

// add schema
:begin
CREATE INDEX ON :`User`(`age`);
CREATE CONSTRAINT ON (node:`User`) ASSERT node.`name` IS UNIQUE;
CREATE CONSTRAINT ON (node:`UNIQUE IMPORT LABEL`) ASSERT node.`UNIQUE IMPORT ID` IS UNIQUE;
:commit

// wait for index completion
call db.awaitIndexes();

// create relationships
:begin
MATCH (n1:`UNIQUE IMPORT LABEL`{`UNIQUE IMPORT ID`:0}), (n2:`User`{`name`:""User1""}) CREATE (n1)-[:`KNOWS` {`since`:2011}]->(n2);
:commit

// clean up temporary import keys (batched)
:begin
MATCH (n:`UNIQUE IMPORT LABEL`)  WITH n LIMIT 1000 REMOVE n:`UNIQUE IMPORT LABEL` REMOVE n.`UNIQUE IMPORT ID`;
:commit
:begin
DROP CONSTRAINT ON (node:`UNIQUE IMPORT LABEL`) ASSERT node.`UNIQUE IMPORT ID` IS UNIQUE;
:commit",articles\modules\ROOT\pages\export-sub-graph-to-cypher-and-import.adoc,1,high,,
94,Extracting Java Error When Installing Neo4j Desktop,"In rare cases, Neo4j Desktop install might fail during the Java extract phase with the following message on Windows:",security,,articles\modules\ROOT\pages\extracting-java-error-during-neo4j-desktop-install.adoc,1,medium,,
95,"Explanation of ""Failed to update routing table with server"" error",If you encounter a *Failed to update routing table with server* error in their `$NEO4J_HOME/logs/debug.log` similar to:,security,,articles\modules\ROOT\pages\failed-to-update-routing-table-with-server.adoc,1,low,,
96,Fast counts using the count store,Neo4j maintains a transactional count store for holding count metadata for a number of things.,cypher,"MATCH (n)
RETURN count(n) as count | MATCH (n:Person)
RETURN count(n) as count",articles\modules\ROOT\pages\fast-counts-using-the-count-store.adoc,1,high,,
97,Favorites for cypher-shell?,"The Neo4j Browser has always had the ability to record `favorites`, i.e. a bookmark to saved cypher that you may want to run sometime in the future.",cypher,,articles\modules\ROOT\pages\favorites-for-cypher-shell.adoc,1,medium,,
98,Fix error: No dependency satisfies type interface org.neo4j.graphdb.GraphDatabaseService,"From Neo4j 3.5 onwards, there are 2 kinds of Extension Factories : global and per database.",security,,articles\modules\ROOT\pages\fix-error-no-dependefix-error-no-dependency-satisfies-type-interface-org-neo4j-graphdb.adoc,1,medium,,
99,Four ways to check the consistency of a Neo4j graph,"When it comes checking the inconsistencies in your graph, there are four methods to do. This article describes them below:",security,,articles\modules\ROOT\pages\four-ways-to-check-consistency.adoc,1,medium,,
100,Fulltext search in Neo4j,Please note that in Neo4j 3.5 fulltext search is available in Neo4j as part of Cypher stored procedures.,cypher,"CALL db.index.fulltext.createNodeIndex(""titlesAndDescriptions"",[""Movie"", ""Book""],[""title"", ""description"", ""review""]) | CALL db.index.fulltext.queryNodes(""titlesAndDescriptions"", ""Full Metal Jacket"") YIELD node, score
RETURN node.title, node.review, score",articles\modules\ROOT\pages\fulltext-search-in-neo4j.adoc,1,high,,
101,Geocoding with Arcgis,* Create/obtain an Arcgis account.,cypher,"WITH 'Statue of Liberty, Liberty Island New York, NY 10004' as address
// get the configuration properties
CALL apoc.static.getAll(""arcgis"") yield value AS arcgis
// build the URL
WITH arcgis.geocode_url+apoc.text.urlencode(address)+'&token='+ arcgis.key as url
// extract the top result
CALL apoc.load.json(url, '$.candidates[0].location') YIELD value as location
return location.x, location.y | CALL apoc.static.getAll(""arcgis"") yield value AS arcgis
WITH arcgis.token_url+'&client_id='+arcgis.client_id+'&client_secret='+arcgis.client_secret as tokenUrl
CALL apoc.load.json(tokenUrl) YIELD value as tokenResponse
WITH tokenResponse.access_token as token
// proceed with geocoding using 'token'",articles\modules\ROOT\pages\geocoding-with-arcgis.adoc,1,low,,
102,Getting a JVM heap dump,This document provides the process of creating a heap-dump on a java machine to investigate potential memory leaks.,performance,,articles\modules\ROOT\pages\getting-a-jvm-heap-dump.adoc,1,medium,,
103,Graph Analytics In Layman Terms,"Graphs in general are very powerful in providing answers where relations do matter a lot.  In this context, using graph queries (Cypher) allows us to answer specific questions when we know what to loo",cypher,,articles\modules\ROOT\pages\graph-analytics-in-layman-terms.adoc,1,medium,,
104,HA Proxy Configuration for Online Backup,"Online backup should be scheduled to run periodically on a production cluster. You only need to run it on one instance, since",security,,articles\modules\ROOT\pages\ha-proxy-configuration-for-online-backup.adoc,1,low,,
105,Helpful Commands When Supporting Neo4j,**Top 50 Slowest queries from Query log:**,cypher,,articles\modules\ROOT\pages\helpful-commands-when-supporting-neo4j.adoc,1,low,,
106,Hosting Multiple Neo4j Instances On One Machine,This document lists some considerations whilst planning to host multiple neo4j instances on the same physical host machine.,security,,articles\modules\ROOT\pages\hosting-multiple-neo4j-instances-on-one-machine.adoc,1,medium,,
107,Retired: How can I skip Consistency Check during Backup?,Backups in Neo4j automatically run a consistency check against the backed-up store.,performance,,articles\modules\ROOT\pages\how-can-i-skip-consistency-check-during-backup.adoc,1,medium,,
108,How deletes work in Neo4j,"Neo4j uses logical deletes to delete from the database to achieve maximum performance and scalability. To understand how this might appear to an operator of the database, lets take a simple case of lo",performance,,articles\modules\ROOT\pages\how-deletes-workin-neo4j.adoc,1,medium,,
109,How do I achieve the equivalent of a SQL Having clause with Cypher,With a traditional SQL based database a HAVING clause will restrict aggregated values.  For example,cypher,"match (n:Person) 
with n.zipcode as zip, count(*) as population 
where population > 100000
return zip, population",articles\modules\ROOT\pages\how-do-i-achieve-the-equivalent-of-a-sql-having-clause-with-cypher.adoc,1,high,,
110,How do I allow for authentication using Active Directory attribute samAccountName,"Commencing with Neo4j https://github.com/neo4j/neo4j/wiki/Neo4j-3.2-changelog#322[3.2.2], it is now possible to authenticate using",security,"neo4j> create (n:Person {id:1});
0 rows available after 231 ms, consumed after another 1 ms
Added 1 nodes, Set 1 properties, Added 1 labels
neo4j> match (n:Person {id:1}) return n;
+",articles\modules\ROOT\pages\how-do-i-allow-for-authentication-using-active-directory-attribute-samaccountname.adoc,1,low,,
111,How do I authenticate with cypher-shell without specifying the username and password on the command line,When using `$NEO4J_HOME/bin/cypher-shell` at the command line and authentication is enabled via the setting `$NEO4J_HOME/conf/neo4j.conf`:,cypher,,articles\modules\ROOT\pages\how-do-i-authenticate-with-cypher-shell-without-specifying-the-username-and-password-on-the-command-line.adoc,1,medium,,
112,How do I automate the copy of auth files in a clustered environment,"In a clustered Neo4j implementation, user authentication files are recorded in each instance at $NEO4J_HOME/data/dbms.",security,,articles\modules\ROOT\pages\how-do-i-automate-the-copy-of-auth-files-in-a-clustered-environment.adoc,1,low,,
113,How do I compare two graphs for equality,"If you are looking to compare 2 graphs (or sub-graphs) to determine if they are equivalent, the following Cypher will produce a md5sum of the nodes and properties to make that comparison. For example,",cypher,"MATCH (n:Movie)
WITH n
ORDER BY n.title
WITH collect(properties(n)) AS propresult
RETURN apoc.util.md5(propresult); | MATCH (n:Movie)
WITH n
ORDER BY n.title
WITH collect(properties(n)) AS propresult
CALL apoc.util.md5(propresult) YIELD value AS md5_property
RETURN md5_property",articles\modules\ROOT\pages\how-do-i-compare-two-graphs-for-equality.adoc,1,high,,
114,How do I configure init and max java heap when running bin/neo4j-backup,When running `$NEO4J_HOME/bin/neo4j-backup` if a Java out of heap/memory error occurs you may want define the init and max,performance,,articles\modules\ROOT\pages\how-do-i-configure-init-and-max-java-heap-when-running-bin-neo4j-backup.adoc,1,medium,,
115,How do i configure Neo4j so that data/graph.db/messages.log is automatically rotated,"As tested and verified with Neo4j 2.3.0, the `data/graph.db/messages.log`, its size and number of rotated archives is governed by the following parameters in the `conf/neo4j.properties` file",security,,articles\modules\ROOT\pages\how-do-i-configure-neo4j-so-that-data-graph-db-messages-log-is-automatically-rotated.adoc,1,medium,,
116,How do I convert a property representing a date timestamp to another timezone,https://neo4j.com/docs/cypher-manual/current/syntax/temporal/[Temporal datatype] support was introduced with with Neo4j 3.4 and as a result it,cypher,"MATCH (n:Person) 
       where    exists(n.date_enrolled)
       return   n.date_enrolled,
                datetime({datetime:datetime(n.date_enrolled), timezone:'America/New York'}) as EST limit 1; | CREATE (n:Person) set n.date_enrolled='2019-02-26T01:23:40Z'",articles\modules\ROOT\pages\how-do-i-convert-a-property-representing-a-date-timestamp-to-another-timezone.adoc,1,high,,
117,How do I convert Neo4j logs from base UTC to local timezone,With the introduction of Neo4j https://github.com/neo4j/neo4j/pull/10217[3.3.1] it is possible to represent date timestamps in,security,,articles\modules\ROOT\pages\how-do-i-convert-neo4j-logs-from-base-utc-to-local-timezone.adoc,1,medium,,
118,How do I define a LOAD CSV FIELDTERMINATOR in hexidecimal notation,"When using https://neo4j.com/docs/developer-manual/current/cypher/#query-load-csv[LOAD CSV] one can define the field delimiter used,",cypher,"LOAD CSV WITH HEADERS from 'file:///actors.csv' as row
FIELDTERMINATOR ';'
RETURN row.name; | LOAD CSV WITH HEADERS from 'file:///actors.csv' as row
FIELDTERMINATOR '\u0080'
RETURN row.name;",articles\modules\ROOT\pages\how-do-i-define-a-load-csv-fieldterminator-in-hexidecimal-notation.adoc,1,high,,
119,"How do I define, display, and use parameters with neo4j-shell",`bin/neo4j-shell` allows for a command line interface to query your graph via Cypher statements and to include parameters to those statements.,cypher,,articles\modules\ROOT\pages\how-do-i-define-display-use-parameters-with-neo4j-shell.adoc,1,medium,,
120,How do I define my graph.db at a path other than under NEO4J_HOME for Windows,"Commencing with Neo4j 3.0, the default location for your `graph.db` directory is under `$NEO4J_HOME\databases\`.",security,,articles\modules\ROOT\pages\how-do-i-define-my-graphdb-at-a-path-other-than-under-neo4j-home-for-windows.adoc,1,medium,,
121,How do I determine the number of nodes and relationships to be effected by a detach delete,Prior to running a `match .... detach delete n;` which will find said nodes and delete all relationships associated with said nodes as well as delete the nodes themselves one might want to run a query,cypher,"match (n:Person) return count(n), sum ( size( (n)-[]->()));",articles\modules\ROOT\pages\how-do-i-determine-number-of-nodes-and-relationships-effected-by-detach-delete.adoc,1,high,,
122,How do I display a hostname rather than IP address in the Causal Clustering Members section of sysinfo,Via the browser one can enter `:sysinfo` to display data about the Neo4j system. When Neo4j is configured as a,security,,articles\modules\ROOT\pages\how-do-i-display-a-hostname-rather-than-ip-address-in-causal-clustering-members-section-of-sysinfo.adoc,1,low,,
123,How do I display all nodes with no defined labels,"Although assigning a node one or more labels provides many benefits (i.e. performance gains from index usage, ability to group nodes into sets, etc), it is possible to create a node without any labels",cypher,MATCH (n) WHERE size(labels(n)) = 0 RETURN n,articles\modules\ROOT\pages\how-do-i-display-all-nodes-with-no-defined-labels.adoc,1,high,,
124,How do I display date and time of when neo4j was started and other metrics,The following Cypher will utilize the JMX metrics as part of 3.1 Enterprise and display the date/time when Neo4j was started.,cypher,"CALL dbms.queryJmx(""org.neo4j:instance=kernel#0,name=Kernel"") yield attributes
       with  keys(attributes) as k , attributes
       unwind k as row
       return row,
         case row
             when 'StoreCreationDate' then apoc.date.format(attributes[row][""value""],""ms"", null, apoc.date.systemTimezone())
             when 'KernelStartTime' then apoc.date.format(attributes[row][""value""],""ms"", null, apoc.date.systemTimezone())
             else attributes[row][""value""] end as value;",articles\modules\ROOT\pages\how-do-i-display-date-and-time-of-when-neo4j-was-started-and-other-metrics.adoc,1,high,,
125,How do I display the nodes with the most properties,"To display the nodes with the most properties defined, run the following Cypher:",cypher,"MATCH (n)
RETURN labels(n), keys(n), size(keys(n)), count(*)
ORDER BY size(keys(n)) DESC",articles\modules\ROOT\pages\how-do-i-display-the-nodes-with-the-most-properties.adoc,1,high,,
126,How do I display the REST code from the 3.0 Browser,"In Neo4j 3.0 and its implementation of the Bolt protocol, requests submitted via the browser (http://localhost:7474) are submitted using Bolt.",security,,articles\modules\ROOT\pages\how-do-i-display-the-rest-code-from-the-3-0-browser.adoc,1,medium,,
127,How do I enable Java Flight Recorder and view the Results,http://www.oracle.com/technetwork/java/javaseproducts/mission-control/java-mission-control-1998576.html[Java Flight Recorder] can,security,,articles\modules\ROOT\pages\how-do-i-enable-java-flight-recorder-and-view-the-results.adoc,1,medium,,
128,How do I enable remote HTTPS access with Neo4j 3.0.x,With 3.0.x to enabled remote clients to connect to a HTTPS enabled browser the following parameters in the `$NEO4J_HOME/conf/neo4j.conf` need to be changed from the default of,security,,articles\modules\ROOT\pages\how-do-i-enable-remote-https-access-with-neo4j-30x.adoc,1,low,,
129,How do I export Cypher Favorites recorded in the browser,Cypher Favorites are common Cypher statements which one can save to the left panel of the Neo4j browser.,cypher,,articles\modules\ROOT\pages\how-do-i-export-cypher-favorites-recorded-in-the-browser.adoc,1,medium,,
130,How do I improve the performance of counting number of relationships on a node,Using Cypher one could count number of relationships in the following manner,cypher,"MATCH (n:Actor {name:'Sylvester Stallone'})-->() RETURN count(*); | MATCH (n:Actor {name:'Sylvester Stallone'})
RETURN size((n)-->())",articles\modules\ROOT\pages\how-do-i-improve-the-performance-of-counting-number-of-relationships-on-a-node.adoc,1,high,,
131,How do I log parameter values into the query.log file,Neo4j 3.0 introduced the ability to log the value of query parameters in the `log/query.log` file.,cypher,,articles\modules\ROOT\pages\how-do-i-log-parameter-values-into-the-query-log-file.adoc,1,medium,,
132,How do I override browser configuration settings,Commencing with Neo4j 3.2.2 one can override default configuration settings of the browser whereby a number of these settings,security,":config | :config {maxFrames:10, theme: ""outline""}",articles\modules\ROOT\pages\how-do-i-override-browser-configuration-settings.adoc,1,high,,
133,How do I pass parameters when calling apoc.cypher.runFile,"https://neo4j.com/developer/neo4j-apoc/[APOC] allows one to have a stored procedure,",cypher,"create (n:Person {id:123, name:'Emil Eifrem'}); | call apoc.cypher.runFile(""myRunFile.cyp"",{}) yield row, result;",articles\modules\ROOT\pages\how-do-i-pass-parameters-when-calling-apoc-cypher-runfile.adoc,1,high,,
134,How do I perform the equivalent of a SQL Create Table as Select with Cypher,With a traditional SQL RDBMS one could perform a `create table as select` (i.e. CTAS) whereby its purpose is to create a,cypher,"MATCH (n:Movie) 
MERGE (m:New_Movie) 
SET m=n; | call apoc.periodic.iterate(""MATCH (n:Movie) RETURN properties(n) as props"", ""CREATE (m:New_Movie) SET m = props"",{});",articles\modules\ROOT\pages\how-do-i-perform-the-equivalent-of-a-sql-ctas.adoc,1,high,,
135,How do I produce a profile/explain through cypher-shell and pipeing query file,If you prepare a file with a Cypher statement that includes either a,cypher,profile match (n:Movies) return count(n);,articles\modules\ROOT\pages\how-do-i-produce-a-profile-explain-through-cypher-shell-and-pipeing-query-file.adoc,1,high,,
136,"How do I produce an inventory of statistics on nodes, relationships, properties",Using the following Cypher,cypher,"MATCH (n) WHERE rand() <= 0.1
WITH labels(n) as labels, size(keys(n)) as props, size((n)--()) as degree
RETURN
DISTINCT labels,
count(*) AS NumofNodes,
avg(props) AS AvgNumOfPropPerNode,
min(props) AS MinNumPropPerNode,
max(props) AS MaxNumPropPerNode,
avg(degree) AS AvgNumOfRelationships,
min(degree) AS MinNumOfRelationships,
max(degree) AS MaxNumOfRelationships",articles\modules\ROOT\pages\how-do-i-produce-an-inventory-of-statistics-on-nodes-relationships-properties.adoc,1,low,,
137,How do I quickly identify long gc pauses via the messages or debug logs,"Java Garbage Collection (gc) pauses are monitored by the `MonitorGc` process in Neo4j, and recorded in the `$NEO4J_HOME/logs/debug.log` (",security,,articles\modules\ROOT\pages\how-do-i-quickly-identify-long-gc-pauses-via-the-messages-or-debug-logs.adoc,1,low,,
138,How do I quickly switch between multiple graphs without modifying neo4j.conf?,"If you have multiple graphs set up and want to quickly switch between each without modifying `dbms.active_database` in `conf/neo4j.conf`,",security,,articles\modules\ROOT\pages\how-do-i-quickly-switch-between-multiple-graphs-without-modifying-neo4j-conf.adoc,1,low,,
139,How do I report on nodes with multiple labels,"If your data model has chosen to define multiple labels on a node, for example",cypher,create (n:Actor:Director {name:'Clint Eastwood'}) | match (n) where n:Actor and n:Director return n;,articles\modules\ROOT\pages\how-do-i-report-on-nodes-with-multiple-labels.adoc,1,high,,
140,How do I run Consistency Check Manually?,"If you skip the Consistency Check part of neo4j-backup, or you want to check that all is well with a data store, you can run the tool against an offline store.",performance,,articles\modules\ROOT\pages\how-do-i-run-consistency-check-manually.adoc,1,medium,,
141,How do I set a breakpoint in a Cypher statement for further analysis,If you wish to set a 'breakpoint' in a Cypher statement so as to perform further analysis,cypher,"MERGE (n:Movie {title:'The Matrix'}) 
set n.production_company='Warner Brothers'
with n call apoc.util.sleep(10000) return n; | MERGE (n:Movie {title:'The Matrix'})  
with n call apoc.util.sleep(10000)  
set n.production_company='Warner Brothers' return n;",articles\modules\ROOT\pages\how-do-i-set-a-breakpoint-in-a-cypher-statement-for-further-analysis.adoc,1,high,,
142,How do I specify the field and array delimiter to neo4j-import as a ASCII character,http://neo4j.com/docs/operations-manual/current/tutorial/import-tool/[neo4j-import] allows one to initially load a graph.db via CSV files.,security,,articles\modules\ROOT\pages\how-do-i-specify-the-field-and-array-delimiter-to-neo4j-import-as-a-ascii-character.adoc,1,low,,
143,How do I use Cypher to connect to a RDBMS using JDBC,"With the inclusion of java stored procedures in Neo4j 3.x, one can run Cypher to connect to a RDBMS using JDBC.",cypher,"CALL apoc.load.jdbc('jdbc:mysql://localhost:3306/proddb1?user=root&password=football','select title from movies where studio=\'MGM Studios\'') YIELD row
CREATE (n:Movies {name:row.title}) | call apoc.load.driver('com.mysql.jdbc.Driver')",articles\modules\ROOT\pages\how-do-i-use-cypher-to-connect-to-a-rbms-using-jdbc.adoc,1,high,,
144,How do I use LOAD CSV to update/set properties of existing nodes,"One can use `LOAD CSV` to perform a bulk update to existing nodes, and create new nodes, as follows.",cypher,"LOAD CSV FROM ""file:///Movies.csv"" AS csvLine
MERGE (n:Movie {id:csvLine[0]})
ON CREATE SET n.id=csvLine[0],n.name=csvLine[1], n.TotalRevenue = csvLine[2]
ON MATCH SET n.TotalRevenue = csvLine[2]",articles\modules\ROOT\pages\how-do-i-use-load-csv-to-update-set-properties-of-existing-nodes.adoc,1,high,,
145,How do I use LOAD CSV with data including quotes,"When using *LOAD CSV* to read a file which includes data with double quote characters (""), the quotes need to be escaped as 2 double quote characters",security,"LOAD CSV WITH HEADERS FROM ""file:///courses.csv"" AS row CREATE (:Course { courseID: toInt(row.COURSE_ID), courseTitle: row.COURSE_TITLE});",articles\modules\ROOT\pages\how-do-i-use-load-csv-with-data-including-quotes.adoc,1,high,,
146,How do I view the column headers of a CSV file with LOAD CSV,If one has a CSV file with the following content,cypher,load csv with headers from 'file:///test.csv' as row with row limit 1 return keys(row);,articles\modules\ROOT\pages\how-do-i-view-the-column-headers-of-a-csv-file-with-load-csv.adoc,1,low,,
147,How do I zoom in/out within the graph visualization of the browser?,"Within the graph visualization pane of the browser (reached locally at http://localhost:7474), to zoom in/out of the graph display one first needs to select *Full Screen* mode. The zoom in/out control",security,,articles\modules\ROOT\pages\how-do-i-zoom-in-out-within-the-graph-visualization-of-the-browser.adoc,1,medium,,
148,How do I recover from No space left on device,If one does not routinely monitor the disk space usage on a Neo4j server one may encounter a 'No space left on device',security,,articles\modules\ROOT\pages\how-do-recover-from-no-space-left-on-device.adoc,1,low,,
149,How does apoc.periodic.iterate work with resources?,How does apoc.periodic.iterate work?,cypher,,articles\modules\ROOT\pages\how-does-apoc-periodic-iterate-work-with-resources.adoc,1,low,,
150,How Neo4j Browser uses bolt+routing,There are two kinds of Bolt drivers specified by URI scheme: the *bolt://* scheme is used to create a direct driver and the *bolt+routing://* scheme is used to create a routing driver.,security,,articles\modules\ROOT\pages\how-neo4j-browser-bolt-routing.adoc,1,medium,,
151,How Does Neo4j Browser interact with Neo4j Server?,"Starting with Neo4j 3.2, the Neo4j Browser only supports Bolt connectivity to the Neo4j Server.  This requires that the network",security,,articles\modules\ROOT\pages\how-neo4j-browser-interacts-with-neo4j-server.adoc,1,low,,
152,How to avoid costly traversals with join hints,"When matching a pattern using Cypher, the number of possible paths to evaluate often correlates with query execution time.",cypher,"MATCH (me:Person {name:'Me'})-[:FRIENDS_WITH]-(friend)-[:LIKES]->(a:Artist)<-[:LIKES]-(me)
RETURN a, count(a) as likesInCommon | MATCH (me:Person {name:'Me'})-[:FRIENDS_WITH]-(friend)-[:LIKES]->(a:Artist)<-[:LIKES]-(me)
USING JOIN on a
RETURN a, count(a) as likesInCommon",articles\modules\ROOT\pages\how-to-avoid-costly-traversals-with-join-hints.adoc,1,high,,
153,How to avoid using excessive memory on deletes involving dense nodes,"In situations where you know you need to delete a bunch of nodes (and by rule their relationships as well), it can be tempting to simply",cypher,"MATCH (n:TTL)
WHERE n.ttl < timestamp()
WITH collect(n) AS nn
CALL apoc.periodic.commit(""
  UNWIND $nodes AS n
  WITH sum(size((n)--())) AS count_remaining,
       collect(n) AS nn
  UNWIND nn AS n
  OPTIONAL MATCH (n)-[r]-()
  WITH n, r, count_remaining
  LIMIT $limit
  DELETE r
  RETURN count_remaining
"",{limit:10000, nodes:nn}) yield updates, executions, runtime, batches, failedBatches, batchErrors, failedCommits, commitErrors
UNWIND nn AS n
DELETE n
RETURN updates, executions, runtime, batches",articles\modules\ROOT\pages\how-to-bulk-delete-dense-nodes.adoc,1,high,,
154,How to check for time range overlap in Cypher,"Neo4j 3.4 introduced temporal types into Cypher, so now we have dates, dateTimes, and their local versions, too, as well as durations.",cypher,"CREATE (:Event {id:1, start:date(), end:date() + duration({days:5})}),
       (:Event {id:2, start:date() + duration({days:3}), end:date() + duration({days:8})}) | MATCH (e1:Event {id:1}), (e2:Event {id:2})
WITH CASE WHEN e1.start >= e2.start THEN e1.start ELSE e2.start END as maxStart,
     CASE WHEN e1.end <= e2.end THEN e1.end ELSE e2.end END as minEnd
RETURN maxStart <= minEnd as rangesOverlap",articles\modules\ROOT\pages\how-to-check-time-range-overlap.adoc,1,high,,
155,How to collect Neo4j logs,"When raising Neo4j Support cases, it is important to upload Neo4j logs.",security,,articles\modules\ROOT\pages\how-to-collect-neo4j-logs.adoc,1,low,,
156,How to configure mixed-mode security (native and LDAP) in Neo4j,"For environments where you need both LDAP authentication as well as some native user accounts, there is a way to allow this in Neo4j 3.1 and newer. Use the configuration setting `dbms.security.auth_pr",security,,articles\modules\ROOT\pages\how-to-configure-mixed-mode-security-in-neo4j.adoc,1,low,,
157,How to configure off-heap transaction state,"WARNING: This feature is experimental in 3.5, on by default in 4.0.",performance,,articles\modules\ROOT\pages\how-to-configure-off-heap-transaction-state.adoc,1,medium,,
158,How to estimate initial memory configuration,"The initial and eventual memory configuration parameters can be a moving target, based on how your store changes in size and how your workload increases or changes over time.",performance,,articles\modules\ROOT\pages\how-to-estimate-initial-memory-configuration.adoc,1,medium,,
159,"How to fix ""Cannot close the PageCache while files are still mapped""","It is common to start the database as different users, this can leave store files owned by other user ids.",performance,,articles\modules\ROOT\pages\how-to-fix-cannot-close-the-pagecache-while-files-are-still-mapped.adoc,1,medium,,
160,How to generate sysinfo output from Cypher,If you need to generate the equivalent output from command `:sysinfo` as run from the Neo4j Browser at http://localhost:7474,cypher,"call dbms.queryJmx(""org.neo4j:instance=kernel#0,name=Store file sizes"") yield attributes
       with  keys(attributes) as k , attributes
       unwind k as row
       return ""StoreSizes"" as type,row,attributes[row][""value""]

union all

call dbms.queryJmx(""org.neo4j:instance=kernel#0,name=Page cache"") yield attributes
       with  keys(attributes) as k , attributes
       unwind k as row
       return ""PageCache"" as type,row,attributes[row][""value""]

union all

call dbms.queryJmx(""org.neo4j:instance=kernel#0,name=Primitive count"") yield attributes
       with  keys(attributes) as k , attributes
       unwind k as row
       return ""ID Allocations"" as type,row,attributes[row][""value""]  

union all

call dbms.queryJmx(""org.neo4j:instance=kernel#0,name=Transactions"") yield attributes
       with  keys(attributes) as k , attributes
       unwind k as row
       return ""Transactions"" as type,row,attributes[row][""value""]

union all

call dbms.queryJmx(""org.neo4j:instance=kernel#0,name=High Availability"") yield attributes
       with  keys(attributes) as k , attributes
       unwind k as row
       return ""High Availability"" as type,row,attributes[row][""value""]

union all

call dbms.queryJmx(""org.neo4j:instance=kernel#0,name=Causal Clustering"") yield attributes
       with  keys(attributes) as k , attributes
       unwind k as row
       return ""Causal Cluster"" as type,row,attributes[row][""value""];",articles\modules\ROOT\pages\how-to-generate-sysinfo-output-from-cypher.adoc,1,high,,
161,How to get a high level inventory of objects in your graph (part 2),Following the knowledge base article on link:https://support.neo4j.com/hc/en-us/articles/227267088-How-to-get-a-high-level-inventory-of-objects-in-your-graph[How to get a high level inventory of objec,cypher,"match (n) return 'Number of Nodes: ' + count(n) as output UNION
match ()-[]->() return 'Number of Relationships: ' + count(*) as output UNION
CALL db.labels() YIELD label RETURN 'Number of Labels: ' + count(*) AS output UNION
CALL db.relationshipTypes() YIELD relationshipType  RETURN 'Number of Relationships Types: ' + count(*) AS output UNION
CALL db.propertyKeys() YIELD propertyKey  RETURN 'Number of Property Keys: ' + count(*) AS output UNION
CALL db.constraints() YIELD description RETURN 'Number of Constraints:' + count(*) AS output UNION
CALL db.indexes() YIELD description RETURN 'Number of Indexes: ' + count(*) AS output UNION
CALL dbms.procedures() YIELD name RETURN 'Number of Procedures: ' + count(*) AS output",articles\modules\ROOT\pages\how-to-get-a-high-level-inventory-of-objects-in-your-graph-part-2.adoc,1,high,,
162,How to get a high level inventory of objects in your graph,The following Cypher can be used to get a simple high level view of the number of objects within your graph database.,cypher,"match (n) return 'Number of Nodes: ' + count(n) as output UNION
match ()-[]->() return 'Number of Relationships: ' + count(*) as output UNION
CALL db.labels() YIELD label RETURN 'Number of Labels: ' + count(*) AS output UNION
CALL db.relationshipTypes() YIELD relationshipType  RETURN 'Number of Relationships Types: ' + count(*) AS output UNION
CALL db.propertyKeys() YIELD propertyKey  RETURN 'Number of Property Keys: ' + count(*) AS output UNION
CALL db.constraints() YIELD description RETURN 'Number of Constraints:' + count(*) AS output UNION
CALL db.indexes() YIELD description RETURN 'Number of Indexes: ' + count(*) AS output UNION
CALL dbms.procedures() YIELD name RETURN 'Number of Procedures: ' + count(*) AS output",articles\modules\ROOT\pages\how-to-get-a-high-level-inventory-of-objects-in-your-graph.adoc,1,high,,
163,How to implement a primary key property for a label,Commencing with Neo4j 2.3.x it is possible to create the equivalent of a primary key on a property of a label.,cypher,"CREATE CONSTRAINT ON (book:Book) ASSERT book.isbn IS UNIQUE
CREATE CONSTRAINT ON (book:Book) ASSERT exists(book.isbn)",articles\modules\ROOT\pages\how-to-implement-a-primary-key-property-for-a-label.adoc,1,high,,
164,How to import a GrapheneDB database into Neo4j Desktop,This assumes you already have the zip file of the GrapheneDB database.,security,,articles\modules\ROOT\pages\how-to-import-a-graphenedb-database-into-neo4j-desktop.adoc,1,low,,
